메뉴명,검색어,이미지URL
img_url 없음/빈값/비정상 메뉴 목록 (총 6건) — 2026-06-28,korean food dish,https://images.pexels.com/photos/2781540/pexels-photo-2781540.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
new!! 불고기샌드위치	[],korean sandwich food,https://images.pexels.com/photos/6416558/pexels-photo-6416558.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
가나다31	[],korean food dish,https://images.pexels.com/photos/2781540/pexels-photo-2781540.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
총각김치	[],korean kimchi food,https://images.pexels.com/photos/12755998/pexels-photo-12755998.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
총각김치 6. 0.	[],korean kimchi food,https://images.pexels.com/photos/12755998/pexels-photo-12755998.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
총각무김치	[],korean kimchi korean radish food,https://images.pexels.com/photos/2781540/pexels-photo-2781540.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
총알오징어찜(4마리)	[],korean squid korean braised steamed dish food,https://images.pexels.com/photos/18283713/pexels-photo-18283713.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
